Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ordertestsuite,,,,2022-06-01 20:21:20,2022-06-01 20:22:14,54.401s,PASSED
,,,,,,,
Test Cases/DesktopApplication/Orderdesktopapp,,,,2022-06-01 20:21:21,2022-06-01 20:22:14,53.898s,PASSED
"startApplicationWithTitle(""C:\Users\AjayBezawada\Documents\UiPath\Desktop_OrderScenarios_Library\.settings\APK File\Orders.exe"", ""Orders"")",,,,2022-06-01 20:21:21,2022-06-01 20:21:23,1.304s,PASSED
"click(findWindowsObject(""Object Repository/New Order Button""))",,,,2022-06-01 20:21:23,2022-06-01 20:21:24,1.113s,PASSED
"click(findWindowsObject(""Object Repository/Customer Name""))",,,,2022-06-01 20:21:24,2022-06-01 20:21:25,1.476s,PASSED
"setText(findWindowsObject(""Object Repository/Customer Name""), Customer)",,,,2022-06-01 20:21:25,2022-06-01 20:21:30,4.674s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/DesktopApplication/NameCheckpoint""), false)",,,,2022-06-01 20:21:30,2022-06-01 20:21:30,0.635s,PASSED
"setText(findWindowsObject(""Object Repository/Streetname""), Street)",,,,2022-06-01 20:21:30,2022-06-01 20:21:35,4.987s,PASSED
"verifyMatch(""73668 East Daniels Way"", ""73668 East Daniels Way"", false)",,,,2022-06-01 20:21:35,2022-06-01 20:21:35,0.010s,PASSED
"click(findWindowsObject(""Object Repository/City Name""))",,,,2022-06-01 20:21:35,2022-06-01 20:21:37,1.467s,PASSED
"setText(findWindowsObject(""Object Repository/City Name""), City)",,,,2022-06-01 20:21:37,2022-06-01 20:21:41,4.402s,PASSED
"verifyMatch(""Thousands Oaks"", ""Thousands Oaks"", false)",,,,2022-06-01 20:21:41,2022-06-01 20:21:41,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/State Name""), State)",,,,2022-06-01 20:21:41,2022-06-01 20:21:46,4.483s,PASSED
"verifyMatch(""NE"", ""NE"", false)",,,,2022-06-01 20:21:46,2022-06-01 20:21:46,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/Zip code""), zip)",,,,2022-06-01 20:21:46,2022-06-01 20:21:50,3.974s,PASSED
"verifyMatch(""6842"", ""6842"", false)",,,,2022-06-01 20:21:50,2022-06-01 20:21:50,0.001s,PASSED
"click(findWindowsObject(""Object Repository/Select CardName""))",,,,2022-06-01 20:21:50,2022-06-01 20:21:51,0.769s,PASSED
"setText(findWindowsObject(""Object Repository/CardNumber""), CardNo)",,,,2022-06-01 20:21:51,2022-06-01 20:21:56,4.955s,PASSED
"verifyMatch(""1330019087"", ""1330019087"", false)",,,,2022-06-01 20:21:56,2022-06-01 20:21:56,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/ExpiryDateOfCard""), ExpDate)",,,,2022-06-01 20:21:56,2022-06-01 20:22:00,4.323s,PASSED
"verifyMatch(""01/01/2023"", ""01/01/2023"", false)",,,,2022-06-01 20:22:00,2022-06-01 20:22:00,0.002s,PASSED
"click(findWindowsObject(""Ok Button""))",,,,2022-06-01 20:22:00,2022-06-01 20:22:00,0.538s,PASSED
"click(findWindowsObject(""Edit OrderButton""))",,,,2022-06-01 20:22:00,2022-06-01 20:22:02,1.256s,PASSED
"click(findWindowsObject(""Object Repository/Click CustomerName""))",,,,2022-06-01 20:22:02,2022-06-01 20:22:03,1.769s,PASSED
"clearText(findWindowsObject(""Object Repository/Edit CustomerName""))",,,,2022-06-01 20:22:03,2022-06-01 20:22:05,1.588s,PASSED
"setText(findWindowsObject(""Object Repository/Edit CustomerName""), Edit_Customer)",,,,2022-06-01 20:22:05,2022-06-01 20:22:11,5.587s,PASSED
"verifyMatch(""Kristen"", ""Kristen"", false)",,,,2022-06-01 20:22:11,2022-06-01 20:22:11,0.002s,PASSED
"click(findWindowsObject(""Ok Button""))",,,,2022-06-01 20:22:11,2022-06-01 20:22:11,0.545s,PASSED
"click(findWindowsObject(""Delete Button""))",,,,2022-06-01 20:22:11,2022-06-01 20:22:12,1.228s,PASSED
"click(findWindowsObject(""Confirmation page""))",,,,2022-06-01 20:22:12,2022-06-01 20:22:13,0.420s,PASSED
"click(findWindowsObject(""Yes Button""))",,,,2022-06-01 20:22:13,2022-06-01 20:22:13,0.532s,PASSED
"click(findWindowsObject(""Close application Button""))",,,,2022-06-01 20:22:13,2022-06-01 20:22:14,0.607s,PASSED
"click(findWindowsObject(""No Button""))",,,,2022-06-01 20:22:14,2022-06-01 20:22:14,0.529s,PASSED
