Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DesktopAndWebApplicationSuite,Chrome 102.0.5005.63,,,2022-06-06 16:05:56,2022-06-06 16:09:19,3m - 22.789s,PASSED
,,,,,,,
Test Cases/DesktopAndWebApplication/Orderdesktopapp,Chrome 102.0.5005.63,,,2022-06-06 16:05:57,2022-06-06 16:06:38,41.772s,PASSED
"startApplicationWithTitle(""C:\Users\AjayBezawada\Documents\UiPath\Desktop_OrderScenarios_Library\.settings\APK File\Orders.exe"", ""Orders"")",Chrome 102.0.5005.63,,,2022-06-06 16:05:57,2022-06-06 16:05:58,1.185s,PASSED
"click(findWindowsObject(""Object Repository/New Order Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:05:58,2022-06-06 16:05:59,0.882s,PASSED
"click(findWindowsObject(""Object Repository/Customer Name""))",Chrome 102.0.5005.63,,,2022-06-06 16:05:59,2022-06-06 16:06:00,1.209s,PASSED
"setText(findWindowsObject(""Object Repository/Customer Name""), Customer)",Chrome 102.0.5005.63,,,2022-06-06 16:06:00,2022-06-06 16:06:04,3.427s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/DesktopApplication/NameCheckpoint""), false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:04,2022-06-06 16:06:05,0.619s,PASSED
"setText(findWindowsObject(""Object Repository/Streetname""), Street)",Chrome 102.0.5005.63,,,2022-06-06 16:06:05,2022-06-06 16:06:09,4.361s,PASSED
"verifyMatch(""73668 East Daniels Way"", ""73668 East Daniels Way"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:09,2022-06-06 16:06:09,0.011s,PASSED
"click(findWindowsObject(""Object Repository/City Name""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:09,2022-06-06 16:06:10,1.140s,PASSED
"setText(findWindowsObject(""Object Repository/City Name""), City)",Chrome 102.0.5005.63,,,2022-06-06 16:06:10,2022-06-06 16:06:13,3.385s,PASSED
"verifyMatch(""Thousands Oaks"", ""Thousands Oaks"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:13,2022-06-06 16:06:13,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/State Name""), State)",Chrome 102.0.5005.63,,,2022-06-06 16:06:13,2022-06-06 16:06:17,3.260s,PASSED
"verifyMatch(""NE"", ""NE"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:17,2022-06-06 16:06:17,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/Zip code""), zip)",Chrome 102.0.5005.63,,,2022-06-06 16:06:17,2022-06-06 16:06:20,2.917s,PASSED
"verifyMatch(""6842"", ""6842"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:20,2022-06-06 16:06:20,0.002s,PASSED
"click(findWindowsObject(""Object Repository/Select CardName""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:20,2022-06-06 16:06:20,0.625s,PASSED
"setText(findWindowsObject(""Object Repository/CardNumber""), CardNo)",Chrome 102.0.5005.63,,,2022-06-06 16:06:20,2022-06-06 16:06:24,3.868s,PASSED
"verifyMatch(""1330019087"", ""1330019087"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:24,2022-06-06 16:06:24,0.002s,PASSED
"setText(findWindowsObject(""Object Repository/ExpiryDateOfCard""), ExpDate)",Chrome 102.0.5005.63,,,2022-06-06 16:06:24,2022-06-06 16:06:27,3.294s,PASSED
"verifyMatch(""01/01/2023"", ""01/01/2023"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:27,2022-06-06 16:06:27,0.002s,PASSED
"click(findWindowsObject(""Ok Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:27,2022-06-06 16:06:28,0.452s,PASSED
"click(findWindowsObject(""Edit OrderButton""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:28,2022-06-06 16:06:29,1.281s,PASSED
"click(findWindowsObject(""Object Repository/Click CustomerName""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:29,2022-06-06 16:06:30,1.322s,PASSED
"clearText(findWindowsObject(""Object Repository/Edit CustomerName""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:30,2022-06-06 16:06:32,1.053s,PASSED
"setText(findWindowsObject(""Object Repository/Edit CustomerName""), Edit_Customer)",Chrome 102.0.5005.63,,,2022-06-06 16:06:32,2022-06-06 16:06:35,3.464s,PASSED
"verifyMatch(""Kristen"", ""Kristen"", false)",Chrome 102.0.5005.63,,,2022-06-06 16:06:35,2022-06-06 16:06:35,0.002s,PASSED
"click(findWindowsObject(""Ok Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:35,2022-06-06 16:06:35,0.451s,PASSED
"click(findWindowsObject(""Delete Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:35,2022-06-06 16:06:36,0.963s,PASSED
"click(findWindowsObject(""Confirmation page""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:36,2022-06-06 16:06:37,0.418s,PASSED
"click(findWindowsObject(""Yes Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:37,2022-06-06 16:06:37,0.474s,PASSED
"click(findWindowsObject(""Close application Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:37,2022-06-06 16:06:38,0.523s,PASSED
"click(findWindowsObject(""No Button""))",Chrome 102.0.5005.63,,,2022-06-06 16:06:38,2022-06-06 16:06:38,0.462s,PASSED
,,,,,,,
Test Cases/DesktopAndWebApplication/Amazonwebtc,Chrome 102.0.5005.63,,,2022-06-06 16:06:38,2022-06-06 16:09:00,2m - 21.187s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-06 16:06:39,2022-06-06 16:06:41,1.742s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 102.0.5005.63,,,2022-06-06 16:06:41,2022-06-06 16:06:45,4.936s,PASSED
maximizeWindow(),Chrome 102.0.5005.63,,,2022-06-06 16:06:45,2022-06-06 16:06:46,0.161s,PASSED
